ANNEE;POPULATION;COLL_DECHETS_ENS;COLL_OM_HAB;COLL_DMREC_HAB;COLL_DECHETERIESENC_HAB;COLL_VEG_HAB
2011;394214;194331.2215;215.0;96.0;109.0;73.0
2014;413417;202872.19988;204.0;91.0;117.0;78.0
2015;419103;200218.80360222605;202.0;89.0;116.0;71.0
2003;392410;180593.64;266.0;65.0;78.0;52.0
2004;396091;187154.065;236.0;82.0;81.0;73.0
2007;415644;200190.76249831094;216.0;89.0;93.0;84.0
2008;386066;195519.40299489623;228.0;96.0;99.0;83.0
2013;406946;196344.906;206.0;91.0;111.0;73.0
2021;457416;221750.91135846294;181.0;101.0;137.0;67.0
2006;403925;190536.803994445;224.0;89.0;87.0;72.0
2016;425397;203039.93340000004;199.0;90.0;119.0;69.0
2005;399819;186832.463997692;231.0;86.0;87.0;62.0
2009;387930;196361.9267970979;224.0;96.0;101.0;86.0
2012;402619;193739.74571229264;211.0;93.0;104.0;73.0
2017;438865;204551.98281648787;192.0;93.0;116.0;65.0
2020;451762;203884.45271713537;180.0;98.0;117.0;56.0
2002;385130;181926.0;301.0;43.0;72.0;56.0
2010;390774;189760.35699403493;216.0;94.0;107.0;68.0
2018;443192;207107.91907;188.0;97.0;119.0;64.0
2019;447429;209334.71019681575;183.0;99.0;121.0;66.0
